2016-12-22 15:08:46.5170 | TRACE | NHibernateTest.Form1 | Table Select ぇ玡: 

2016-12-22 15:10:50.2994 | TRACE | NHibernateTest.Form1 | Table Select ぇ玡: 

2016-12-22 15:11:33.1623 | TRACE | NHibernateTest.Form1 | Table Select ぇ玡: 

2016-12-22 15:12:34.3176 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:12:46.8909 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:12:47.7655 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:12:48.1087 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:12:48.6255 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:12:48.8819 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:12:49.5869 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:13:42.4192 | TRACE | NHibernateTest.Form1 | 琩高祇ネ岿粇Duplicate property mapping of PersonID found in NHibernateTest.Domain.Animal 

2016-12-22 15:14:30.8873 | TRACE | NHibernateTest.Form1 | Table Select ぇ玡: 

